Training has begun...


Epoch 0 has begun

After batch 0 , accuracy: 1.0, loss: 0.637
After batch 1 , accuracy: 0.5, loss: 1.007
After batch 2 , accuracy: 0.444, loss: 0.936
After batch 3 , accuracy: 0.5, loss: 0.874
After batch 4 , accuracy: 0.467, loss: 0.839
After batch 5 , accuracy: 0.444, loss: 0.814
After batch 6 , accuracy: 0.429, loss: 0.797
After batch 7 , accuracy: 0.458, loss: 0.784
After batch 8 , accuracy: 0.481, loss: 0.774
After batch 9 , accuracy: 0.433, loss: 0.766
After batch 10 , accuracy: 0.455, loss: 0.759
After batch 11 , accuracy: 0.444, loss: 0.753
After batch 12 , accuracy: 0.436, loss: 0.749
After batch 13 , accuracy: 0.452, loss: 0.744
After batch 14 , accuracy: 0.444, loss: 0.741
After batch 15 , accuracy: 0.458, loss: 0.737
After batch 16 , accuracy: 0.431, loss: 0.735
After batch 17 , accuracy: 0.444, loss: 0.732
After batch 18 , accuracy: 0.456, loss: 0.729
After batch 19 , accuracy: 0.45, loss: 0.728
After batch 20 , accuracy: 0.444, loss: 0.726
After batch 21 , accuracy: 0.439, loss: 0.725
After batch 22 , accuracy: 0.449, loss: 0.723
After batch 23 , accuracy: 0.444, loss: 0.722
After batch 24 , accuracy: 0.467, loss: 0.72
After batch 25 , accuracy: 0.487, loss: 0.718
After batch 26 , accuracy: 0.481, loss: 0.717
After batch 27 , accuracy: 0.488, loss: 0.716
After batch 28 , accuracy: 0.471, loss: 0.717
After batch 29 , accuracy: 0.467, loss: 0.717
After batch 30 , accuracy: 0.473, loss: 0.715
After batch 31 , accuracy: 0.469, loss: 0.715
After batch 32 , accuracy: 0.465, loss: 0.715
After batch 33 , accuracy: 0.471, loss: 0.714
After batch 34 , accuracy: 0.467, loss: 0.713
After batch 35 , accuracy: 0.481, loss: 0.712
After batch 36 , accuracy: 0.486, loss: 0.712
After batch 37 , accuracy: 0.474, loss: 0.713
After batch 38 , accuracy: 0.479, loss: 0.711
After batch 39 , accuracy: 0.475, loss: 0.712
After batch 40 , accuracy: 0.463, loss: 0.712
After batch 41 , accuracy: 0.46, loss: 0.712
After batch 42 , accuracy: 0.465, loss: 0.71
After batch 43 , accuracy: 0.462, loss: 0.71
After batch 44 , accuracy: 0.467, loss: 0.709
After batch 45 , accuracy: 0.471, loss: 0.709
After batch 46 , accuracy: 0.482, loss: 0.708
After batch 47 , accuracy: 0.493, loss: 0.707
After batch 48 , accuracy: 0.497, loss: 0.707
After batch 49 , accuracy: 0.5, loss: 0.706
After batch 50 , accuracy: 0.503, loss: 0.705
After batch 51 , accuracy: 0.5, loss: 0.706
After batch 52 , accuracy: 0.497, loss: 0.706
After batch 53 , accuracy: 0.494, loss: 0.707
After batch 54 , accuracy: 0.497, loss: 0.706
After batch 55 , accuracy: 0.494, loss: 0.706
After batch 56 , accuracy: 0.497, loss: 0.706
After batch 57 , accuracy: 0.489, loss: 0.707
After batch 58 , accuracy: 0.492, loss: 0.706
After batch 59 , accuracy: 0.494, loss: 0.705
After batch 60 , accuracy: 0.486, loss: 0.706
After batch 61 , accuracy: 0.484, loss: 0.706
After batch 62 , accuracy: 0.487, loss: 0.706
After batch 63 , accuracy: 0.479, loss: 0.706
After batch 64 , accuracy: 0.487, loss: 0.705
After batch 65 , accuracy: 0.495, loss: 0.705
After batch 66 , accuracy: 0.498, loss: 0.705
After batch 67 , accuracy: 0.495, loss: 0.705
After batch 68 , accuracy: 0.498, loss: 0.704
After batch 69 , accuracy: 0.505, loss: 0.703
After batch 70 , accuracy: 0.507, loss: 0.703
After batch 71 , accuracy: 0.509, loss: 0.703
